text,label
"এই সিনেমাটা অসাধারণ","positive"
"আমি খুব খুশি","positive"
"আজকের দিনটা চমৎকার","positive"
"পণ্যটি দারুণ","positive"
"সেবাটা অনেক ভালো","positive"
"অ্যাপটি ব্যবহার করে ভালো লেগেছে","positive"
"আমি এই সার্ভিসে সন্তুষ্ট","positive"
"কাজটা সুন্দর হয়েছে","positive"
"খাবারটা খুব সুস্বাদু","positive"
"এটা আমার খুব পছন্দ হয়েছে","positive"
"অভিজ্ঞতাটা অসাধারণ","positive"
"ওর ব্যবহার খুব ভালো","positive"
"এই সিনেমাটা একদম বাজে","negative"
"আমি খুব বিরক্ত","negative"
"আজকের দিনটা খুব খারাপ","negative"
"পণ্যটি মোটেও ভালো নয়","negative"
"সেবাটা খারাপ ছিল","negative"
"অ্যাপটি ব্যবহার করে হতাশ হয়েছি","negative"
"আমি এই সার্ভিসে অসন্তুষ্ট","negative"
"কাজটা ঠিকমতো হয়নি","negative"
"খাবারটা একদম ভালো নয়","negative"
"এটা আমার একদম পছন্দ হয়নি","negative"
"অভিজ্ঞতাটা খুব খারাপ","negative"
"ওর ব্যবহার খুব খারাপ","negative"
"সিনেমাটা মোটামুটি ছিল","neutral"
"আজকের দিনটা স্বাভাবিক","neutral"
"সেবাটা ঠিকঠাক ছিল","neutral"
"পণ্যটি ব্যবহারযোগ্য","neutral"
"বিষয়টি সাধারণ","neutral"
"অ্যাপটি মোটামুটি কাজ করে","neutral"
"ফলাফলটি গ্রহণযোগ্য","neutral"
"খাবারটা সাধারণ ছিল","neutral"
"আমার বিশেষ কোনো মত নেই","neutral"
"দামটা স্বাভাবিক","neutral"
"অভিজ্ঞতাটা সাধারণ","neutral"
"সবকিছু স্বাভাবিক ছিল","neutral"
